#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
17,Ukraine,1352134,4285.0,26050.0,68.0,1171724,"+1,701",154360,177.0,31042.0,598.0,6845974.0,157166.0,"43,558,754 ",Europe,32,"1,672",6
18,Indonesia,1334634,,36166.0,,1142703,,155765,,4846.0,131.0,10799191.0,39208.0,"275,435,303 ",Asia,206,"7,616",26
19,Peru,1329805,,46494.0,,1232528,,50783,2150.0,39964.0,1397.0,7584699.0,227941.0,"33,274,900 ",South America,25,716,4
20,Czechia,1240051,4557.0,20469.0,73.0,1070622,344,148960,1507.0,115653.0,1909.0,8067140.0,752380.0,"10,722,168 ",Europe,9,524,1
21,Netherlands,1088690,,15563.0,,0,N/A,0,518.0,63443.0,907.0,6970400.0,406200.0,"17,160,033 ",Europe,16,"1,103",2
22,Canada,866503,,21994.0,,813778,,30731,567.0,22826.0,579.0,24425703.0,643441.0,"37,961,073 ",North America,44,"1,726",2
23,Chile,825625,,20572.0,,780530,,24523,1659.0,42946.0,1070.0,9366844.0,487228.0,"19,224,767 ",South America,23,935,2
24,Portugal,804562,,16317.0,,718977,,69268,484.0,79057.0,1603.0,8220231.0,807732.0,"10,176,932 ",Europe,13,624,1
25,Romania,801994,,20350.0,,740352,,41292,1006.0,41875.0,1063.0,6052647.0,316029.0,"19,152,187 ",Europe,24,941,3
26,Israel,775807,,5752.0,,733410,,36645,754.0,84349.0,625.0,11959120.0,1300245.0,"9,197,590 ",Asia,12,"1,599",1
27,Belgium,771511,2097.0,22077.0,25.0,52524,165,696910,397.0,66378.0,1899.0,9469086.0,814681.0,"11,623,063 ",Europe,15,526,1
28,Iraq,695489,,13406.0,,635931,,46152,397.0,17040.0,328.0,6846243.0,167737.0,"40,815,271 ",Asia,59,"3,045",6
