#,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,NewRecovered,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
,"
",,,1319267,North America,North America,,6270.0,697.0,"+4,421",,19342.0,,2659091,152556.0,1187268.0,,
,"
",,,716602,South America,South America,,977.0,18.0,668,,12380.0,,1701177,68830.0,915745.0,,
,"
",,,861154,Europe,Europe,,,,,,6370.0,,2283096,186934.0,1235008.0,,
,"
",,,632002,Asia,Asia,,7769.0,156.0,"+2,413",,16221.0,,1824086,46519.0,1145565.0,,
,"
",,,145923,Africa,Africa,,,,,,499.0,,288812,7713.0,135176.0,,
,"
",,,458,Australia/Oceania,Oceania,,29.0,,3,,2.0,,9052,124.0,8470.0,,
,"
",,,3675461,All,World,59.4,15045.0,871.0,"+7,505",,54818.0,,8766035,462691.0,4627883.0,,1125.0
21,804,"24,873",90,37243,South America,Colombia,40.0,,,,"50,865,177 ",335.0,11173.0,63276,2045.0,23988.0,568324.0,1244.0
22,192,"1,195",11,34030,Europe,Belgium,837.0,,,,"11,588,139 ",55.0,93835.0,60476,9695.0,16751.0,1087369.0,5219.0
23,165,"28,040",11,21721,Europe,Belarus,36.0,,,,"9,449,407 ",92.0,86978.0,57333,337.0,35275.0,821887.0,6067.0
24,180,"1,998",26,0,Europe,Sweden,500.0,,,N/A,"10,097,352 ",272.0,38194.0,56043,5053.0,0.0,385659.0,5550.0
25,"1,959","50,701",758,36266,Africa,Egypt,20.0,,,,"102,263,012 ",41.0,1320.0,52211,2017.0,13928.0,135000.0,511.0
26,355,"4,243",128,21129,South America,Ecuador,236.0,,,,"17,633,668  ",234.0,7822.0,49731,4156.0,24446.0,137930.0,2820.0
27,347,"2,818",33,0,Europe,Netherlands,355.0,,,N/A,"17,133,798 ",57.0,30193.0,49426,6081.0,0.0,517317.0,2885.0
28,224,"32,955",3,12849,Asia,UAE,30.0,,,,"9,886,410 ",1.0,307291.0,44145,300.0,30996.0,3038000.0,4465.0
29,"6,242","115,225",455,24081,Asia,Indonesia,9.0,,,,"273,429,272 ",,2199.0,43803,2373.0,17349.0,601239.0,160.0
30,141,"224,958",10,8130,Asia,Singapore,4.0,,,,"5,848,906 ",2.0,98512.0,41615,26.0,33459.0,576189.0,7115.0
31,"1,142","46,152",171,26740,South America,Argentina,22.0,,,,"45,182,547 ",353.0,5856.0,39570,979.0,11851.0,264604.0,876.0
32,110,"13,637",12,8175,Asia,Kuwait,73.0,,,,"4,268,372 ",193.0,81861.0,38678,313.0,30190.0,349412.0,9062.0
33,265,"6,678",10,12460,Europe,Portugal,150.0,,,,"10,197,475 ",67.0,102683.0,38464,1527.0,24477.0,1047109.0,3772.0
34,"1,250","44,406",81,17966,Europe,Ukraine,23.0,,,,"43,740,134 ",343.0,12397.0,34984,985.0,16033.0,542247.0,800.0
35,"1,209","28,372",29,14284,Europe,Poland,35.0,,,,"37,847,717 ",87.0,34287.0,31316,1334.0,15698.0,1297676.0,827.0
36,277,"4,424",18,379,Europe,Switzerland,226.0,,,,"8,652,664 ",17.0,57074.0,31235,1956.0,28900.0,493843.0,3610.0
37,"3,849","96,930",194,19951,Asia,Philippines,10.0,,,,"109,531,422 ",417.0,5161.0,28459,1130.0,7378.0,565248.0,260.0
38,"1,395","70,975",622,19368,Asia,Afghanistan,14.0,,,,"38,894,188 ",19.0,1607.0,27878,548.0,7962.0,62492.0,717.0
39,184,"40,811",34,13571,Asia,Oman,25.0,,,,"5,101,359 ",102.0,29754.0,27670,125.0,13974.0,151784.0,5424.0
40,"1,469","43,446",95,14222,Asia,Iraq,23.0,,,,"40,187,366 ",212.0,10580.0,27352,925.0,12205.0,425192.0,681.0
41,195,"2,880",12,956,Europe,Ireland,347.0,,,,"4,935,970 ",16.0,80346.0,25368,1714.0,22698.0,396584.0,5139.0
42,433,"16,761",91,9816,North America,Dominican Republic,60.0,,,,"10,844,393 ",167.0,11003.0,25068,647.0,14605.0,119319.0,2312.0
43,178,"8,891",42,9430,North America,Panama,112.0,,,,"4,312,367 ",107.0,23816.0,24274,485.0,14359.0,102703.0,5629.0
44,822,"12,965",32,5361,Europe,Romania,77.0,,,,"19,240,762 ",184.0,31640.0,23400,1484.0,16555.0,608771.0,1216.0
45,519,"16,318",212,17091,South America,Bolivia,61.0,977.0,18.0,668,"11,667,572 ",71.0,4724.0,22476,715.0,4670.0,55114.0,1926.0
46,81,"29,805",4,5572,Asia,Bahrain,34.0,,,,"1,698,868 ",36.0,272315.0,20916,57.0,15287.0,462627.0,12312.0
47,452,"30,255",11,4449,Asia,Israel,33.0,,,,"9,197,590 ",39.0,87495.0,20339,304.0,15586.0,804743.0,2211.0
48,155,"9,289",32,10572,Asia,Armenia,108.0,,,,"2,963,087 ",10.0,31029.0,19157,319.0,8266.0,91943.0,6465.0
49,"10,755","422,863","1,897",12079,Africa,Nigeria,2.0,,,,"205,934,216 ",7.0,527.0,19147,487.0,6581.0,108548.0,93.0
50,"7,130","135,280",314,797,Asia,Japan,7.0,,,,"126,486,413 ",62.0,3189.0,17740,935.0,16008.0,403380.0,140.0
51,521,"13,088",16,442,Europe,Austria,76.0,,,,"9,004,851 ",7.0,61315.0,17271,688.0,16141.0,552130.0,1918.0
52,"1,119","166,099",15,6255,Asia,Kazakhstan,6.0,428.0,,216,"18,769,219 ",121.0,66020.0,16779,113.0,10411.0,1239138.0,894.0
53,298,"8,965",64,5581,Europe,Moldova,112.0,,,,"4,034,207 ",455.0,15698.0,13556,450.0,7525.0,63328.0,3360.0
54,"2,352","443,546",119,8585,Africa,Ghana,2.0,,,,"31,048,247 ",6.0,8417.0,13203,70.0,4548.0,261319.0,425.0
55,688,"33,738",26,939,Europe,Serbia,30.0,,,,"8,738,259 ",18.0,38033.0,12709,259.0,11511.0,332342.0,1454.0
56,"1,431","37,067",570,9607,North America,Guatemala,27.0,641.0,34.0,129,"17,903,374 ",5.0,1755.0,12509,483.0,2419.0,31427.0,699.0
57,467,"9,653",7,509,Europe,Denmark,104.0,,,,"5,791,610 ",6.0,151313.0,12391,600.0,11282.0,876344.0,2139.0
58,"4,144","183,100",44,1237,Asia,S. Korea,5.0,67.0,,21,"51,267,965 ",15.0,22839.0,12373,280.0,10856.0,1170901.0,241.0
59,861,"70,883",25,5299,Asia,Azerbaijan,14.0,,,,"10,136,270 ",66.0,39807.0,11767,143.0,6325.0,403499.0,1161.0
60,"3,809","53,118",,2483,Africa,Algeria,19.0,,,,"43,822,095 ",54.0,,11504,825.0,8196.0,,263.0
61,879,"28,364",460,9695,North America,Honduras,35.0,519.0,6.0,35,"9,899,028 ",13.0,2176.0,11258,349.0,1214.0,21540.0,1137.0
62,"2,493","94,040",,2808,Africa,Cameroon,11.0,,,,"26,519,263 ",28.0,,10638,282.0,7548.0,,401.0
63,"1,029","31,965",21,2598,Europe,Czechia,31.0,,,,"10,708,422 ",9.0,47998.0,10406,335.0,7473.0,513979.0,972.0
64,"3,838","173,221",73,1283,Africa,Morocco,6.0,,,,"36,895,998 ",7.0,13704.0,9613,213.0,8117.0,505636.0,261.0
65,621,"22,213",18,344,Europe,Norway,45.0,,,,"5,419,919 ",5.0,55842.0,8726,244.0,8138.0,302659.0,1610.0
66,"3,791","267,372",48,344,Asia,Malaysia,4.0,,,,"32,351,989 ",3.0,20850.0,8535,121.0,8070.0,674551.0,264.0
67,"5,268","86,579","109,249",4724,Africa,Sudan,12.0,,,,"43,808,910 ",,9.0,8316,506.0,3086.0,401.0,190.0
68,"3,519","1,323,530",71,6850,Asia,Nepal,0.8,,,,"29,117,669 ",,14068.0,8274,22.0,1402.0,409623.0,284.0
69,"3,428","249,903",13,453,Australia/Oceania,Australia,4.0,27.0,,3,"25,490,075 ",2.0,78550.0,7436,102.0,6881.0,2002246.0,292.0
70,777,"16,995",25,607,Europe,Finland,59.0,,,,"5,540,479 ",2.0,40502.0,7133,326.0,6200.0,224400.0,1287.0
71,"3,834","537,796",612,3883,Africa,Ivory Coast,2.0,,,,"26,352,025 ",,1635.0,6874,49.0,2942.0,43075.0,261.0
72,"5,552","1,760,652",45,1733,Asia,Uzbekistan,0.6,79.0,,,"33,452,387 ",16.0,22377.0,6025,19.0,4273.0,748555.0,180.0
73,"2,966","211,719",253,1772,Africa,Senegal,5.0,,,,"16,725,811 ",17.0,3960.0,5639,79.0,3788.0,66238.0,337.0
74,"16,331","733,143",,4636,Africa,DRC,1.0,,,,"89,443,480 ",,,5477,122.0,719.0,,61.0
75,"1,785","186,849",,1457,Asia,Tajikistan,5.0,,,,"9,529,306 ",,,5338,51.0,3830.0,,560.0
76,"2,289","131,010","1,181",4869,North America,Haiti,8.0,64.0,3.0,,"11,397,877 ",,847.0,4980,87.0,24.0,9651.0,437.0
77,"2,675","485,852",911,1355,Africa,Guinea,2.0,,,,"13,118,017 ",24.0,1098.0,4904,27.0,3522.0,14407.0,374.0
78,432,"9,385",44,2735,Europe,North Macedonia,107.0,,,,"2,083,376 ",34.0,22940.0,4820,222.0,1863.0,47793.0,2314.0
79,216,"21,944",23,955,Africa,Djibouti,46.0,,,,"987,502 ",,44426.0,4565,45.0,3565.0,43871.0,4623.0
80,502,"65,402",82,2644,Africa,Gabon,15.0,,,,"2,223,657 ",9.0,12156.0,4428,34.0,1750.0,27030.0,1991.0
