#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
81,Bahrain,96195,,356.0,,92920.0,,2919,20.0,55523.0,205.0,24866420.0,14352829.0,"1,732,510  ",Asia,18,"4,867",0
82,North Macedonia,87117,,2647.0,,68364.0,,16106,138.0,41816.0,1271.0,421153.0,202154.0,"2,083,328 ",Europe,24,787,5
83,Kyrgyzstan,82587,92.0,1375.0,1.0,78358.0,177,2854,50.0,12549.0,209.0,619064.0,94064.0,"6,581,283 ",Asia,80,"4,786",11
84,Uzbekistan,77716,53.0,618.0,1.0,76197.0,63,901,158.0,2304.0,18.0,1377915.0,40855.0,"33,726,834 ",Asia,434,"54,574",24
85,S. Korea,70212,561.0,1185.0,20.0,54636.0,"+1,067",14391,374.0,1369.0,23.0,4872312.0,94990.0,"51,292,838 ",Asia,731,"43,285",11
86,Albania,64627,,1252.0,,38421.0,,24954,39.0,22470.0,435.0,292707.0,101772.0,"2,876,110 ",Europe,45,"2,297",10
87,Singapore,58984,38.0,29.0,,58694.0,,261,1.0,10040.0,5.0,5837181.0,993581.0,"5,874,894 ",Asia,100,"202,583",1
88,Norway,56615,,482.0,,46611.0,,9522,34.0,10400.0,89.0,3064639.0,562953.0,"5,443,862 ",Europe,96,"11,294",2
89,Ghana,56421,,338.0,,54753.0,,1330,46.0,1796.0,11.0,697087.0,22189.0,"31,415,827 ",Africa,557,"92,946",45
90,Afghanistan,53690,,2308.0,,44608.0,,6774,672.0,1363.0,59.0,217752.0,5528.0,"39,391,241 ",Asia,734,"17,067",181
91,Montenegro,53338,,730.0,,42995.0,,9613,68.0,84918.0,1162.0,199980.0,318384.0,"628,109 ",Europe,12,860,3
92,Latvia,50777,,882.0,,36260.0,,13635,73.0,27082.0,470.0,981910.0,523703.0,"1,874,938 ",Europe,37,"2,126",2
93,El Salvador,49539,,1447.0,10.0,43810.0,,4282,105.0,7617.0,222.0,650658.0,100044.0,"6,503,702 ",North America,131,"4,495",10
94,Sri Lanka,49537,,244.0,,42621.0,,6672,,2308.0,11.0,1401970.0,65326.0,"21,461,275 ",Asia,433,"87,956",15
95,Luxembourg,48181,,538.0,,44848.0,,2795,24.0,76311.0,852.0,1758293.0,2784841.0,"631,380 ",Europe,13,"1,174",0
96,Finland,39011,,602.0,,31000.0,,7409,30.0,7035.0,109.0,2591810.0,467386.0,"5,545,332 ",Europe,142,"9,212",2
97,Uganda,37948,,303.0,,13018.0,,24627,,816.0,7.0,789755.0,16985.0,"46,498,430 ",Africa,"1,225","153,460",59
98,Estonia,34138,,292.0,,23811.0,,10035,41.0,25725.0,220.0,684214.0,515605.0,"1,327,013 ",Europe,39,"4,545",2
99,Zambia,29757,,495.0,,21074.0,,8188,234.0,1595.0,27.0,718848.0,38534.0,"18,654,661 ",Africa,627,"37,686",26
100,Namibia,28871,,264.0,,24938.0,,3669,32.0,11255.0,103.0,231809.0,90364.0,"2,565,281 ",Africa,89,"9,717",11
101,Australia,28647,14.0,909.0,,25860.0,21,1878,1.0,1117.0,35.0,12199634.0,475483.0,"25,657,353 ",Australia/Oceania,896,"28,226",2
102,Cyprus,27897,,157.0,,2057.0,,25683,58.0,23016.0,130.0,871140.0,718732.0,"1,212,051 ",Asia,43,"7,720",1
103,Uruguay,27846,,269.0,,20099.0,,7478,103.0,8001.0,77.0,714493.0,205304.0,"3,480,173 ",South America,125,"12,937",5
104,Cameroon,27336,,451.0,,24892.0,,1993,46.0,1016.0,17.0,149000.0,5540.0,"26,894,127 ",Africa,984,"59,632",180
105,Ivory Coast,24186,,140.0,,22740.0,,1306,,905.0,5.0,283759.0,10619.0,"26,722,574 ",Africa,"1,105","190,876",94
106,Sudan,23316,,1468.0,,13524.0,,8324,,525.0,33.0,,,"44,389,485 ",Africa,"1,904","30,238",
107,Zimbabwe,23239,,551.0,,13396.0,,9292,,1552.0,37.0,231845.0,15479.0,"14,977,836 ",Africa,645,"27,183",65
108,Mozambique,22996,,201.0,,18170.0,,4625,,725.0,6.0,293201.0,9245.0,"31,715,849 ",Africa,"1,379","157,790",108
109,Senegal,21685,,480.0,,18502.0,,2703,32.0,1277.0,28.0,290212.0,17095.0,"16,976,220 ",Africa,783,"35,367",58
110,DRC,19707,,625.0,,14766.0,,4316,,217.0,7.0,,,"90,990,389 ",Africa,"4,617","145,585",
111,Angola,18343,,422.0,,15512.0,,2409,17.0,549.0,13.0,174111.0,5213.0,"33,402,528 ",Africa,"1,821","79,153",192
112,Madagascar,18001,,267.0,,17447.0,,287,16.0,641.0,10.0,102830.0,3664.0,"28,065,975 ",Africa,"1,559","105,116",273
113,French Polynesia,17403,,124.0,,4842.0,,12437,19.0,61762.0,440.0,26355.0,93532.0,"281,776 ",Australia/Oceania,16,"2,272",11
114,Botswana,16768,,59.0,,13310.0,,3399,1.0,7055.0,25.0,573333.0,241227.0,"2,376,741 ",Africa,142,"40,284",4
115,Mauritania,15707,,392.0,,13835.0,,1480,57.0,3332.0,83.0,132738.0,28158.0,"4,714,003 ",Africa,300,"12,026",36
116,Cuba,15494,,155.0,,12252.0,,3087,25.0,1368.0,14.0,1620169.0,143088.0,"11,322,907 ",North America,731,"73,051",7
117,Malta,14769,,234.0,,12016.0,,2519,18.0,33401.0,529.0,550267.0,1244461.0,"442,173 ",Europe,30,"1,890",1
118,French Guiana,14370,,74.0,,9995.0,,4301,4.0,47463.0,244.0,112996.0,373221.0,"302,759 ",South America,21,"4,091",3
119,Maldives,14218,,49.0,,13402.0,,767,54.0,26060.0,90.0,348464.0,638693.0,"545,589 ",Asia,38,"11,134",2
120,Guinea,14025,,81.0,,13255.0,,689,24.0,1053.0,6.0,112043.0,8411.0,"13,320,219 ",Africa,950,"164,447",119
121,Jamaica,13760,,315.0,,11526.0,,1919,6.0,4636.0,106.0,147640.0,49743.0,"2,968,080 ",North America,216,"9,422",20
122,Tajikistan,13308,,90.0,,13215.0,,3,,1379.0,9.0,,,"9,650,758 ",Asia,725,"107,231",
123,Syria,12558,,790.0,,6185.0,,5583,,708.0,45.0,,,"17,724,823 ",Asia,"1,411","22,436",
124,Cabo Verde,12506,,115.0,,11815.0,,576,23.0,22364.0,206.0,107817.0,192805.0,"559,203 ",Africa,45,"4,863",5
125,Eswatini,11919,,319.0,,7898.0,,3702,67.0,10217.0,273.0,103050.0,88336.0,"1,166,563 ",Africa,98,"3,657",11
126,Belize,11366,,277.0,,10502.0,,587,2.0,28312.0,690.0,63446.0,158041.0,"401,452 ",North America,35,"1,449",6
127,Thailand,10991,157.0,67.0,,6943.0,211,3981,1.0,157.0,1.0,1217873.0,17425.0,"69,893,769 ",Asia,"6,359","1,043,191",57
128,Haiti,10415,,238.0,,8840.0,,1337,,908.0,21.0,43211.0,3765.0,"11,476,479 ",North America,"1,102","48,221",266
129,Rwanda,9950,,125.0,,6974.0,,2851,,758.0,10.0,771275.0,58780.0,"13,121,449 ",Africa,"1,319","104,972",17
130,Gabon,9740,,66.0,,9549.0,,125,6.0,4322.0,29.0,394166.0,174917.0,"2,253,441 ",Africa,231,"34,143",6
131,Réunion,9359,,42.0,,8830.0,,487,4.0,10414.0,47.0,71252.0,79281.0,"898,723 ",Africa,96,"21,398",13
132,Hong Kong,9344,,160.0,,8524.0,,660,40.0,1241.0,21.0,5845073.0,776297.0,"7,529,431 ",Asia,806,"47,059",1
133,Malawi,9027,,235.0,,5838.0,,2954,4.0,466.0,12.0,97429.0,5025.0,"19,390,294 ",Africa,"2,148","82,512",199
134,Guadeloupe,8776,,154.0,,2242.0,,6380,3.0,21931.0,385.0,105991.0,264871.0,"400,161 ",North America,46,"2,598",4
135,Andorra,8745,63.0,87.0,1.0,7966.0,36,692,15.0,113085.0,1125.0,180088.0,2328794.0,"77,331 ",Europe,9,889,0
136,Burkina Faso,8463,,92.0,,6028.0,,2343,,399.0,4.0,,,"21,204,783 ",Africa,"2,506","230,487",
137,Bahamas,8004,,175.0,,6331.0,,1498,11.0,20251.0,443.0,55277.0,139854.0,"395,247 ",North America,49,"2,259",7
138,Mali,7687,,303.0,,5354.0,,2030,,374.0,15.0,136739.0,6652.0,"20,557,328 ",Africa,"2,674","67,846",150
139,Trinidad and Tobago,7286,,128.0,,6883.0,,275,3.0,5197.0,91.0,76763.0,54756.0,"1,401,914 ",North America,192,"10,952",18
140,Suriname,7178,,138.0,,6398.0,,642,11.0,12178.0,234.0,30550.0,51829.0,"589,435 ",South America,82,"4,271",19
141,Congo,7160,,112.0,,5846.0,,1202,,1281.0,20.0,73120.0,13081.0,"5,589,686 ",Africa,781,"49,908",76
142,Guyana,6653,,170.0,,6047.0,,436,3.0,8437.0,216.0,42132.0,53428.0,"788,581 ",South America,119,"4,639",19
143,Mayotte,6232,,56.0,,2964.0,,3212,4.0,22556.0,203.0,39759.0,143905.0,"276,286 ",Africa,44,"4,934",7
144,Martinique,6184,,43.0,,98.0,,6043,4.0,16486.0,115.0,79166.0,211048.0,"375,109 ",North America,61,"8,723",5
145,Aruba,6154,,52.0,,5511.0,,591,4.0,57510.0,486.0,73633.0,688107.0,"107,008 ",North America,17,"2,058",1
146,Nicaragua,6152,,167.0,,4225.0,,1760,,923.0,25.0,,,"6,666,493 ",North America,"1,084","39,919",
147,Lesotho,5937,,85.0,,1572.0,,4280,,2760.0,40.0,41012.0,19064.0,"2,151,310 ",Africa,362,"25,310",52
148,Iceland,5912,,29.0,,5734.0,,149,,17265.0,85.0,454568.0,1327493.0,"342,426 ",Europe,58,"11,808",1
149,Djibouti,5879,,61.0,,5801.0,,17,,5905.0,61.0,103260.0,103713.0,"995,631 ",Africa,169,"16,322",10
150,Equatorial Guinea,5296,,86.0,,5154.0,,56,,3711.0,60.0,79425.0,55654.0,"1,427,129 ",Africa,269,"16,595",18
151,CAR,4973,,63.0,,4885.0,,25,2.0,1020.0,13.0,35523.0,7288.0,"4,874,274 ",Africa,980,"77,369",137
152,Somalia,4726,,130.0,,3639.0,,957,,293.0,8.0,,,"16,126,380 ",Africa,"3,412","124,049",
153,Curaçao,4469,,19.0,,4023.0,,427,4.0,27175.0,116.0,40295.0,245026.0,"164,452 ",North America,37,"8,655",4
154,Togo,4045,,73.0,,3656.0,,316,,483.0,9.0,189056.0,22557.0,"8,381,099 ",Africa,"2,072","114,810",44
155,Niger,3969,,135.0,,2507.0,,1327,3.0,161.0,5.0,67052.0,2719.0,"24,664,421 ",Africa,"6,214","182,699",368
156,Gambia,3876,,125.0,,3678.0,,73,1.0,1581.0,51.0,31058.0,12665.0,"2,452,363 ",Africa,633,"19,619",79
157,South Sudan,3670,,63.0,,3181.0,,426,1.0,326.0,6.0,80036.0,7106.0,"11,263,567 ",Africa,"3,069","178,787",141
158,Benin,3363,,46.0,,3222.0,,95,,274.0,4.0,400805.0,32611.0,"12,290,391 ",Africa,"3,655","267,182",31
159,Gibraltar,3324,,17.0,,2213.0,,1094,110.0,98676.0,505.0,135664.0,4027311.0,"33,686 ",Europe,10,"1,982",0
160,Channel Islands,3310,,75.0,,2948.0,,287,10.0,18945.0,429.0,287870.0,1647636.0,"174,717 ",Europe,53,"2,330",1
161,Sierra Leone,2864,,77.0,,2006.0,,781,,355.0,10.0,,,"8,062,774 ",Africa,"2,815","104,711",
162,San Marino,2706,,65.0,,2333.0,,308,10.0,79661.0,1914.0,29247.0,860991.0,"33,969 ",Europe,13,523,1
163,Chad,2668,,108.0,,2016.0,,544,,160.0,6.0,,,"16,673,557 ",Africa,"6,249","154,385",
164,Guinea-Bissau,2478,,45.0,,2400.0,,33,5.0,1244.0,23.0,39578.0,19863.0,"1,992,539 ",Africa,804,"44,279",50
165,Liechtenstein,2355,,49.0,,2196.0,,110,13.0,61670.0,1283.0,21443.0,561526.0,"38,187 ",Europe,16,779,2
166,New Zealand,2228,6.0,25.0,,2141.0,21,62,,445.0,5.0,1448199.0,289518.0,"5,002,100 ",Australia/Oceania,"2,245","200,084",3
167,Yemen,2107,,612.0,,1416.0,,79,23.0,70.0,20.0,17404.0,577.0,"30,172,929 ",Asia,"14,320","49,302","1,734"
168,Liberia,1876,,84.0,,1697.0,,95,2.0,366.0,16.0,59172.0,11556.0,"5,120,399 ",Africa,"2,729","60,957",87
169,Eritrea,1596,,6.0,,934.0,,656,,447.0,2.0,23693.0,6632.0,"3,572,503 ",Africa,"2,238","595,417",151
170,Sint Maarten,1589,,27.0,,1460.0,,102,3.0,36838.0,626.0,11535.0,267416.0,"43,135 ",North America,27,"1,598",4
171,Vietnam,1520,,35.0,,1361.0,,124,,16.0,0.4,1431631.0,14638.0,"97,805,557 ",Asia,"64,346","2,794,444",68
172,Mongolia,1469,13.0,2.0,,909.0,,558,14.0,444.0,0.6,787517.0,238187.0,"3,306,297 ",Asia,"2,251","1,653,149",4
173,Comoros,1166,,21.0,,889.0,,256,,1326.0,24.0,,,"879,390 ",Africa,754,"41,876",
174,Monaco,1092,,7.0,,900.0,,185,9.0,27722.0,178.0,51953.0,1318905.0,"39,391 ",Europe,36,"5,627",1
175,Sao Tome and Principe,1090,,17.0,,990.0,,83,,4925.0,77.0,7498.0,33879.0,"221,314 ",Africa,203,"13,018",30
176,Saint Martin,1025,,12.0,,855.0,,158,7.0,26271.0,308.0,12433.0,318664.0,"39,016 ",North America,38,"3,251",3
177,Burundi,1019,,2.0,,773.0,,244,,84.0,0.2,90019.0,7454.0,"12,076,732 ",Africa,"11,852","6,038,366",134
178,Turks and Caicos,1011,,6.0,,819.0,,186,2.0,25926.0,154.0,12477.0,319964.0,"38,995 ",North America,39,"6,499",3
179,Barbados,968,,7.0,,408.0,,553,1.0,3366.0,24.0,84879.0,295166.0,"287,564 ",North America,297,"41,081",3
180,Taiwan,842,4.0,7.0,,731.0,1,104,,35.0,0.3,133617.0,5605.0,"23,839,869 ",Asia,"28,313","3,405,696",178
181,Bhutan,831,,1.0,,481.0,,349,,1071.0,1.0,336947.0,434136.0,"776,132 ",Asia,934,"776,132",2
182,Papua New Guinea,823,,9.0,,755.0,,59,,91.0,1.0,39761.0,4400.0,"9,036,748 ",Australia/Oceania,"10,980","1,004,083",227
