#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,"(484, 'Country')","(245, 'Country')"
40,UAE,662486,,1900.0,,640248,,20338,,66147.0,190.0,62950635.0,6285416.0,"10,015,349 ",Asia,15,"5,271",0,,,"2,031",Dummy,Dummy
41,Austria,653998,,10729.0,,639700,,3569,34.0,72184.0,1184.0,62160444.0,6860821.0,"9,060,205 ",Europe,14,844,0,,,394,Dummy,Dummy
42,Morocco,558785,,9466.0,,533229,,16090,323.0,14954.0,253.0,7204405.0,192796.0,"37,368,028 ",Africa,67,"3,948",5,,,431,Dummy,Dummy
43,Lebanon,551157,,7886.0,,535485,,7786,54.0,81131.0,1161.0,4731376.0,696469.0,"6,793,381 ",Asia,12,861,1,,,"1,146",Dummy,Dummy
44,Tunisia,548753,,17644.0,,438356,,92753,630.0,45929.0,1477.0,2104554.0,176143.0,"11,947,973 ",Africa,22,677,6,,,"7,763",Dummy,Dummy
45,Saudi Arabia,510869,,8089.0,,492149,,10631,1403.0,14439.0,229.0,23831953.0,673594.0,"35,380,297 ",Asia,69,"4,374",1,,,300,Dummy,Dummy
46,Kazakhstan,499111,4889.0,5062.0,65.0,433994,"+2,038",60055,221.0,26253.0,266.0,11575012.0,608841.0,"19,011,551 ",Asia,38,"3,756",2,257,3,"3,159",Dummy,Dummy
47,Ecuador,476312,,21958.0,,443880,,10474,427.0,26576.0,1225.0,1609933.0,89825.0,"17,922,971 ",South America,38,816,11,,,584,Dummy,Dummy
48,Bolivia,463125,971.0,17475.0,17.0,392548,"+1,803",53102,200.0,39117.0,1476.0,1991956.0,168247.0,"11,839,450 ",South America,26,678,6,82,1,"4,485",Dummy,Dummy
49,Greece,459146,,12834.0,,418134,,28178,123.0,44278.0,1238.0,11747179.0,1132843.0,"10,369,642 ",Europe,23,808,1,,,"2,717",Dummy,Dummy
50,Paraguay,445565,,14340.0,,404947,,26278,452.0,61677.0,1985.0,1631850.0,225888.0,"7,224,142 ",South America,16,504,4,,,"3,638",Dummy,Dummy
51,Belarus,435020,,3334.0,,428682,,3004,,46053.0,353.0,7101151.0,751758.0,"9,446,065 ",Europe,22,"2,833",1,,,318,Dummy,Dummy
