#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCasesper1Mpop,Deathsper1Mpop,TotalTests,Testsper1Mpop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
119,Maldives,27874,,71.0,,24309,,3494,90.0,50840.0,129.0,708923.0,1293016.0,"548,271 ",Asia,20,"7,722",1,,,"6,373"
120,Angola,25609,,579.0,,23092,,1938,24.0,760.0,17.0,455499.0,13520.0,"33,691,594 ",Africa,"1,316","58,189",74,,,58
121,Rwanda,24593,,330.0,,22941,,1322,6.0,1861.0,25.0,1289120.0,97571.0,"13,212,078 ",Africa,537,"40,037",10,,,100
122,Gabon,22433,,138.0,,19074,,3221,22.0,9890.0,61.0,710576.0,313269.0,"2,268,260 ",Africa,101,"16,437",3,,,"1,420"
123,Cabo Verde,22349,,203.0,,19204,,2942,23.0,39845.0,362.0,144736.0,258042.0,"560,901 ",Africa,25,"2,763",4,,,"5,245"
124,Syria,22135,,1537.0,,15913,,4685,,1240.0,86.0,103566.0,5804.0,"17,844,811 ",Asia,806,"11,610",172,,,263
125,Guinea,21953,,140.0,,19230,,2583,24.0,1636.0,10.0,426690.0,31793.0,"13,420,832 ",Africa,611,"95,863",31,,,192
126,Mayotte,19849,,169.0,,2964,,16716,5.0,71362.0,608.0,165683.0,595673.0,"278,144 ",Africa,14,"1,646",2,,,"60,098"
127,Réunion,19343,,141.0,,17653,,1549,36.0,21480.0,157.0,100098.0,111156.0,"900,518 ",Africa,47,"6,387",9,,,"1,720"
128,French Guiana,18826,,98.0,,9995,,8733,14.0,61736.0,321.0,208396.0,683389.0,"304,945 ",South America,16,"3,112",1,,,"28,638"
129,French Polynesia,18734,,141.0,,4842,,13751,4.0,66378.0,500.0,26355.0,93381.0,"282,232 ",Australia/Oceania,15,"2,002",11,,,"48,722"
130,Eswatini,18442,,671.0,,17737,,34,3.0,15763.0,574.0,182826.0,156269.0,"1,169,941 ",Africa,63,"1,744",6,,,29
131,Mauritania,18257,,454.0,,17587,,216,14.0,3845.0,96.0,228502.0,48121.0,"4,748,515 ",Africa,260,"10,459",21,,,45
132,Somalia,13670,,698.0,,5679,,7293,,841.0,43.0,109233.0,6721.0,"16,251,643 ",Africa,"1,189","23,283",149,,,449
133,Guadeloupe,13669,,185.0,,2242,,11242,23.0,34157.0,462.0,171662.0,428962.0,"400,180 ",North America,29,"2,163",2,,,"28,092"
134,Mali,13627,,467.0,,8071,,5089,,658.0,23.0,249766.0,12053.0,"20,722,146 ",Africa,"1,521","44,373",83,,,246
135,Tajikistan,13308,,90.0,,13218,,0,,1370.0,9.0,,,"9,711,190 ",Asia,730,"107,902",,,,
136,Burkina Faso,13263,,156.0,,12937,,170,,621.0,7.0,178827.0,8369.0,"21,366,688 ",Africa,"1,611","136,966",119,,,8
137,Andorra,13060,,124.0,,12491,,445,24.0,168808.0,1603.0,193595.0,2502327.0,"77,366 ",Europe,6,624,0,,,"5,752"
138,Haiti,12958,,251.0,,11945,,762,,1125.0,22.0,60085.0,5218.0,"11,515,590 ",North America,889,"45,879",192,,,66
139,Togo,12787,,121.0,,10699,,1967,,1516.0,14.0,305687.0,36237.0,"8,435,849 ",Africa,660,"69,718",28,,,233
140,Guyana,12703,,284.0,,10786,,1633,12.0,16087.0,360.0,117390.0,148661.0,"789,647 ",South America,62,"2,780",7,,,"2,068"
141,Belize,12599,,321.0,,12168,,110,1.0,31225.0,796.0,113675.0,281732.0,"403,486 ",North America,32,"1,257",4,,,273
142,Curaçao,12119,,104.0,,10801,,1214,22.0,73609.0,632.0,91868.0,557993.0,"164,640 ",North America,14,"1,583",2,,,"7,374"
143,Hong Kong,11737,,209.0,,11354,,174,3.0,1555.0,28.0,11193673.0,1483288.0,"7,546,526 ",Asia,643,"36,108",1,,,23
144,Djibouti,10802,,136.0,,10324,,342,,10806.0,136.0,147300.0,147348.0,"999,676 ",Africa,93,"7,351",7,,,342
145,Lesotho,10728,,316.0,,6267,,4145,,4976.0,147.0,77329.0,35866.0,"2,156,083 ",Africa,201,"6,823",28,,,"1,922"
146,Congo,10678,,144.0,,8208,,2326,,1897.0,26.0,92500.0,16436.0,"5,628,023 ",Africa,527,"39,083",61,,,413
147,Papua New Guinea,10670,,102.0,,8369,,2199,,1175.0,11.0,86619.0,9535.0,"9,084,517 ",Australia/Oceania,851,"89,064",105,,,242
148,Martinique,10611,,68.0,,98,,10445,24.0,28294.0,181.0,149454.0,398515.0,"375,027 ",North America,35,"5,515",3,,,"27,851"
149,Aruba,10538,,98.0,,10169,,271,14.0,98361.0,915.0,145228.0,1355548.0,"107,136 ",North America,10,"1,093",1,,,"2,529"
150,South Sudan,10532,,114.0,,10250,,168,,932.0,10.0,147670.0,13068.0,"11,300,488 ",Africa,"1,073","99,127",77,,,15
151,Bahamas,10050,,196.0,,9262,,592,4.0,25359.0,495.0,84637.0,213566.0,"396,303 ",North America,39,"2,022",5,,,"1,494"
152,Suriname,10045,,198.0,,9088,,759,18.0,16999.0,335.0,49255.0,83354.0,"590,912 ",South America,59,"2,984",12,,,"1,284"
