#,ActiveCases,Continent,Country,Deathsper1Mpop,NewCases,NewDeaths,Population,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
14,35014,North America,Canada,188.0,,,"37,713,606 ",1618.0,43334.0,90190,7073.0,48103.0,1634277.0,2391.0
15,15862,North America,Mexico,76.0,2885.0,364.0,"128,814,639 ",378.0,2104.0,87512,9779.0,61871.0,270992.0,679.0
16,24021,Asia,Saudi Arabia,14.0,,,"34,765,118 ",384.0,23201.0,83384,480.0,58883.0,806569.0,2398.0
17,42742,Asia,Pakistan,7.0,3039.0,88.0,"220,497,647 ",111.0,2481.0,69496,1483.0,25271.0,547030.0,315.0
18,32964,Europe,Belgium,816.0,,,"11,585,389 ",173.0,73201.0,58186,9453.0,15769.0,848065.0,5022.0
19,29387,Asia,Qatar,13.0,,,"2,876,643 ",217.0,75779.0,55262,36.0,25839.0,217988.0,19211.0
20,0,Europe,Netherlands,347.0,,,"17,131,732 ",170.0,20380.0,46257,5951.0,0.0,349150.0,2700.0
21,34623,Asia,Bangladesh,4.0,,,"164,546,795 ",1.0,1805.0,44608,610.0,9375.0,297054.0,271.0
22,23465,Europe,Belarus,24.0,,,"9,449,576 ",92.0,55723.0,41658,229.0,17964.0,526559.0,4408.0
23,16047,South America,Ecuador,189.0,,,"17,619,020 ",220.0,6459.0,38571,3334.0,19190.0,113808.0,2189.0
24,27747,Europe,Sweden,435.0,,,"10,093,917 ",190.0,23658.0,37113,4395.0,4971.0,238800.0,3677.0
25,13616,Asia,Singapore,4.0,,,"5,846,395 ",7.0,57247.0,34366,23.0,20727.0,334691.0,5878.0
26,16088,Asia,UAE,27.0,,,"9,879,882 ",1.0,213615.0,33896,262.0,17546.0,2110493.0,3431.0
27,11621,Europe,Portugal,137.0,,,"10,199,093 ",66.0,78030.0,32203,1396.0,19186.0,795838.0,3157.0
28,14208,Africa,South Africa,11.0,,,"59,242,648 ",128.0,11848.0,30967,643.0,16116.0,701883.0,523.0
29,526,Europe,Switzerland,222.0,,,"8,649,211 ",27.0,45636.0,30845,1919.0,28400.0,394717.0,3566.0
30,20225,South America,Colombia,18.0,,,"50,835,558 ",136.0,6290.0,28236,890.0,7121.0,319779.0,555.0
31,15831,Asia,Kuwait,48.0,,,"4,264,919 ",206.0,68000.0,26192,205.0,10156.0,290013.0,6141.0
32,17185,Asia,Indonesia,6.0,,,"273,271,317 ",,1141.0,25773,1573.0,7015.0,311906.0,94.0
33,1189,Europe,Ireland,335.0,,,"4,932,957 ",42.0,66045.0,24929,1651.0,22089.0,325795.0,5054.0
34,11494,Europe,Poland,28.0,,,"37,849,973 ",160.0,23753.0,23571,1061.0,11016.0,899069.0,623.0
35,16843,Africa,Egypt,9.0,,,"102,157,382 ",41.0,1321.0,23449,913.0,5693.0,135000.0,230.0
36,13197,Europe,Ukraine,16.0,,,"43,754,416 ",273.0,7960.0,23204,696.0,9311.0,348279.0,530.0
